"Ein strahlt ewiges Licht","4","253","Die ewige Heimat",""
"Es ist noch eine  Ruh'","0","41","Die ewige Heimat",""
"Ewige Heimat, o Heimat","0","7","Die ewige Heimat",""
"Freund, wir zieh'n","0","25","Die ewige Heimat",""
"Herrlich winkt die Stadt","3","96","Die ewige Heimat",""
"Ich sah einen neuen","3","65","Die ewige Heimat",""
"Ich weiß' von einem","3","99","Die ewige Heimat",""
"Mein Heim ist nicht von ","0","76","Die ewige Heimat",""
"Ob mich brausende","4","261","Die ewige Heimat",""
"Weit in der Fern'","3","86","Die ewige Heimat",""
"Wenn nach der Erde","0","3","Die ewige Heimat",""
"Wir sind ein Volk","4","262","Die ewige Heimat",""
"Zion, wach auf ","4","254","Die ewige Heimat",""
"Erwache Welt","4","348","Wiederkunft Jesu Christi",""
"Erwacht! ","3","61","Wiederkunft Jesu Christi",""
"Es gibt eine Stadt","3","59","Wiederkunft Jesu Christi",""
"Jesus kommt wieder","3","161","Wiederkunft Jesu Christi",""
"Nicht schweigen!","1","4","Wiederkunft Jesu Christi",""
"Sieh, dein König kommt!","4","346","Wiederkunft Jesu Christi",""
"Siehe, ich komme bald","0","1","Wiederkunft Jesu Christi",""
"Wenn Jesus kommt","1","80","Wiederkunft Jesu Christi",""
"Wie lieblich sind","1","45","Wiederkunft Jesu Christi",""
"Der Bräutigam kommt","4","345","Wiederkunft Jesu Christi",""
"Auf Adlers Flügeln getragen","4","239","Trost und Ermunterung",""
"Dein Wort ist","0","80","Trost und Ermunterung",""
"Der Herr ist mein Hirt'","4","241","Trost und Ermunterung",""
"Der Herr ist mein Hirte","3","60","Trost und Ermunterung",""
"Dunkel liegt vor mir","4","262","Trost und Ermunterung",""
"Gleich wie der Vater","3","73","Trost und Ermunterung",""
"Gott ist die Liebe","0","46","Trost und Ermunterung",""
"Gottes Hände","0","21","Trost und Ermunterung",""
"Hast du's nicht erfahren","1","78","Trost und Ermunterung",""
"Herr, bleib bei uns","0","13","Trost und Ermunterung",""
"Herr, mein Gott","4","212","Trost und Ermunterung",""
"Herr, wenn ich nur dich","4","218","Trost und Ermunterung",""
"In meinem Heilandes","2","176","Trost und Ermunterung",""
"O mein Gott, du weißt","1","28","Trost und Ermunterung",""
"Oft war mir das Leben","4","236","Trost und Ermunterung",""
"Oft' werd ich im Alltag","1","79","Trost und Ermunterung",""
"Sei froh mein Herz","2","160","Trost und Ermunterung",""
"Seid ihr müde schon","0","16","Trost und Ermunterung",""
"Selig sind die","4","307","Trost und Ermunterung",""
"Tiefen Friede so reich","4","234","Trost und Ermunterung",""
"Um ein Schifflein","1","47","Trost und Ermunterung",""
"Wenn des Lebensstürme","3","76","Trost und Ermunterung",""
"Wenn du in des Lebensstürme  ","","","Trost und Ermunterung",""
"Wenn schwer dein Weg","1","59","Trost und Ermunterung",""
"Wer unter dem Schirm","4","304","Trost und Ermunterung",""
"Wie der Hirsch","3","66","Trost und Ermunterung",""
"Willst du beten","3","50","Trost und Ermunterung",""
"Zu den Bergen","0","57","Trost und Ermunterung",""
"Eins tröstet uns","0","55","Trost und Ermunterung",""
"Heute komme ich ","0","86","Trost und Ermunterung",""
"Bethlehem schläft","2","189","Geburt Jesu Christi ",""
"Bethlehem schlief","0","88","Geburt Jesu Christi ",""
"Ehre, Ehre","0","28","Geburt Jesu Christi ",""
"Ehre sei Gott in der Höhe","5","387","Geburt Jesu Christi ",""
"Engel künden","5","376","Geburt Jesu Christi ",""
"Es war in stiller Mitternacht","5","381","Geburt Jesu Christi ",""
"Fröhlich singt uns","5","367","Geburt Jesu Christi ",""
"Gerne hätte ich","5","375","Geburt Jesu Christi ",""
"Heilige Nacht","0","51","Geburt Jesu Christi ",""
"Heilige Nacht","5","386","Geburt Jesu Christi ",""
"Heilige Nacht","5","373","Geburt Jesu Christi ",""
"Herbei, o ihr Gläubigen","5","374","Geburt Jesu Christi ",""
"Horch vom Engelmunde","5","383","Geburt Jesu Christi ",""
"Horch, welch himmlisch ","5","372","Geburt Jesu Christi ",""
"Horch! Die Engelchöre singen","5","391","Geburt Jesu Christi ",""
"Horch, die Engelchöre","1","61","Geburt Jesu Christi ",""
"Horch, wie es die Nacht","5","390","Geburt Jesu Christi ",""
"Hört! Das frohe Lied!","5","370","Geburt Jesu Christi ",""
"Ich steh an deiner Krippe","5","380","Geburt Jesu Christi ",""
"Nacht über Bethlehem","5","392","Geburt Jesu Christi ",""
"Nun fallen weiße Flocken","5","400","Geburt Jesu Christi ",""
"O Bethlehem, du kleine","5","369","Geburt Jesu Christi ",""
"O welche Liebe","5","384","Geburt Jesu Christi ",""
"Seid fröhlich, alle Völker","2","187","Geburt Jesu Christi ",""
"Still ist die Nacht","5","398","Geburt Jesu Christi ",""
"Stille Nacht in Bethlehem","2","191","Geburt Jesu Christi ",""
"Uns ist ein Kind geboren ","2","188","Geburt Jesu Christi ",""
"Weiß liegen die Felder","0","82","Geburt Jesu Christi ",""
"Bethlehem schläft ","0","88","Geburt Jesu Christi ",""
"Ach, bis zum Tod ","5","146","Leiden und Sterben Jesu Christi",""
"Bitter weinte","5","407","Leiden und Sterben Jesu Christi",""
"Der schönste Platz","4","341","Leiden und Sterben Jesu Christi",""
"Durch manche Länder","3","148","Leiden und Sterben Jesu Christi",""
"Fließt, ihr Tränen","1","8","Leiden und Sterben Jesu Christi",""
"Fürwahr, er trug","5","420","Leiden und Sterben Jesu Christi",""
"Jesus, mein Heiland","2","195","Leiden und Sterben Jesu Christi",""
"Nacht voll Leid und","1","32","Leiden und Sterben Jesu Christi",""
"Nacht senkt sich nieder","0","53","Leiden und Sterben Jesu Christi",""
"Nächtliche Schatten","1","26","Leiden und Sterben Jesu Christi",""
"Nun hab' ich gefunden","0","23","Leiden und Sterben Jesu Christi",""
"O mein Gott, o mein","1","92","Leiden und Sterben Jesu Christi",""
"O stiller Ort","1","85","Leiden und Sterben Jesu Christi",""
"O Todesstund","1","54","Leiden und Sterben Jesu Christi",""
"Schau hin nach Golgatha","3","147","Leiden und Sterben Jesu Christi",""
"Unter dem Kreuz","0","14","Leiden und Sterben Jesu Christi",""
"Vorbei der Tag","0","17","Leiden und Sterben Jesu Christi",""
"Wer legt mit bangem","5","419","Leiden und Sterben Jesu Christi",""
"Wie viele Menschen","2","193","Leiden und Sterben Jesu Christi",""
"Jesus ging nach","0","90","Leiden und Sterben Jesu Christi",""
"Gethzename","0","89","Leiden und Sterben Jesu Christi",""
"Auferstanden","5","437","Christi Auferstehung",""
"Auferstanden","5","439","Christi Auferstehung",""
"Christi ist auferstanden","5","441","Christi Auferstehung",""
"Das ist unsre Botschaft","0","31","Christi Auferstehung",""
"Der Heiland","5","445","Christi Auferstehung",""
"Er erstand","2","199","Christi Auferstehung",""
"Jesus lebt, er ist auferstanden","2","204","Christi Auferstehung",""
"Singet fröhlich Jubellieder","2","198","Christi Auferstehung",""
"Still lag im Morgengrau","5","448","Christi Auferstehung",""
"Unser Herr ist erstanden","1","95","Christi Auferstehung",""
"Was zagest du?","5","447","Christi Auferstehung",""
"Wir singen dir erstand'ner","5","442","Christi Auferstehung",""
"In stiller Gruft","5","451","Christi Auferstehung",""
"Nächtlich dunkel","5","455","Christi Auferstehung",""
"In finstrer Gruft","5","434","Christi Auferstehung",""
"Habt ihr gehört","5","438","Christi Auferstehung",""
"Geist des Herrn","1","40","Pfingsten",""
"Heil'ger Geist, du Geist","0","32","Pfingsten",""
"Herr, lass deinen Geist","5","472","Pfingsten",""
"In Andacht und Anbetung","","","Pfingsten",""
" Lieber Herr, nimm ganz","5","473","Pfingsten",""
"Machet die Tore weit","2","192","Pfingsten",""
"O traget die Kunde","5","468","Pfingsten",""
"Unser Heiland","5","464","Pfingsten",""
"Welch ein wunderbarer","5","469","Pfingsten",""
"Zion, freue dich! ","0","49","Pfingsten",""
"Als eine frohe ","5","492","Erntedankfest",""
"Blick auf, blick auf ","5","493","Erntedankfest",""
"Bringt dem Herrn Preis","5","499","Erntedankfest",""
"Das ist ein Köstlich","4","205","Erntedankfest",""
"Die Ernte ist wieder","5","510","Erntedankfest",""
"Die mit Tränen","5","506","Erntedankfest",""
"Entfern von Gott","4","306","Erntedankfest",""
"Fällt der Regen","5","712","Erntedankfest",""
"Gott hat reiche Ernte","1","84","Erntedankfest",""
"Gott gab uns den Frühling","1","64","Erntedankfest",""
"Heute ernte ich ","0","88","Erntedankfest",""
"Lass mich hören","1","84","Erntedankfest",""
"O wo sind die Schnitter ","5","509","Erntedankfest",""
"Reif sind Felder","5","494","Erntedankfest",""
"Säe den Samen","5","495","Erntedankfest",""
"Singt dem Allmächtigen","4","186","Erntedankfest",""
"Wir loben, o Gott","5","518","Erntedankfest",""
"Wo ist die Frucht","5","498","Erntedankfest",""
"Der Herr unser Gott","0","36","Hochzeitslieder",""
"Erhebt euch, frohe Jubel","0","35","Hochzeitslieder",""
"Es ist nicht gut allein","0","37","Hochzeitslieder",""
"Es spricht der Herr","5","545","Hochzeitslieder",""
"Gib Vater und deinen","5","533","Hochzeitslieder",""
"Gott grüße dich","5","552","Hochzeitslieder",""
"Gott grüße dich","1","12","Hochzeitslieder",""
"Gott segne euch","5","532","Hochzeitslieder",""
"Grüß Gott euren teuren","5","551","Hochzeitslieder",""
"Grüß Gott, grüß Gott","5","546","Hochzeitslieder",""
"Her, zwei Hände","1","66","Hochzeitslieder",""
"Herr, wir fliehen mit","5","555","Hochzeitslieder",""
"Hochzeitstag, o Tag","5","534","Hochzeitslieder",""
"Mit dem Herrn","5","535","Hochzeitslieder",""
"Segen und Gnade","5","538","Hochzeitslieder",""
"Reicht einander die Hände","0","50","Hochzeitslieder",""
"Wir grüßen euch","5","542","Hochzeitslieder",""
"Wo du hingehst","5","549","Hochzeitslieder",""
"Wo du hingehst","5","548","Hochzeitslieder",""
"Wo Jesus bei den Seinen","5","542","Hochzeitslieder",""
